decision_rule,threshold,accuracy,f1_macro,precision_pos,recall_pos,f1_pos,cost
Logistic_SMOTE threshold 0.50,0.5,0.9675,0.7350303469517167,0.33035714285714285,0.925,0.4868421052631579,11250
Logistic_SMOTE best threshold,0.4,0.9608333333333333,0.7120727879991937,0.29102167182662536,0.94,0.4444444444444444,10580
